Area,Poverty rate,Unemployment rate,Percentage of pupils who achieved grade 9-4,crime rates,average property price 2024 Feb,Fair pay (London Living Wage) ,Healthy Life Expentency,Green Space,Air Quality,Carbon Emission,Energy Efficiency,Waste reduction,Good Qualification 16+,PTAL,SchoolAccessibility
Barking and Dagenham,29,6.8,66,123,328226,84.8,59.13,0.38,0.25,10.49,0.62,0.27,49.3,4,65
Barnet,26,5.4,80.1,91,583647,,64.99,0.52,0.25,11.36,0.57,0.29,58.1,1,166
Bexley,26,4.9,69.4,84,391250,82.8,65.17,0.37,0.25,11.14,0.51,0.5,52.3,4,84
Brent,32,5.7,68,114,521609,86,65.58,0.39,0.25,10.11,0.6,0.33,52.4,4,103
Bromley,17,5,73.2,88,505297,86,67.53,0.49,0.25,12.08,0.47,0.45,53.9,6,122
Camden,41,4.9,67.9,109,858206,74.9,65.68,0.44,0.25,11.07,0.63,0.29,52.4,5,94
City of London,26,5.3,64.5,29,808976,87.4,,0.07,0.24,13.98,0.61,0.3,,9,5
Croydon,34,4.9,73.7,109,394025,89,62.83,0.47,0.25,11.53,0.55,0.41,47.6,9,144
Ealing,33,5.6,65.7,105,533943,84.2,63.34,0.41,0.25,10.55,0.63,0.49,53.7,9,117
Enfield,21,4.4,66.3,106,425468,81.9,63.18,0.43,0.25,10.87,0.45,0.33,48.6,8,109
Greenwich,28,3.8,71.7,126,458920,78.8,63.64,0.4,0.25,10.91,0.63,0.32,49.4,5,102
Hackney,18,4.8,77.2,135,589517,83.8,60.86,0.41,0.25,10.67,0.68,0.28,51.9,8,113
Hammersmith and Fulham,33,4.4,65.9,107,745123,84.8,64.36,0.3,0.25,11.88,0.66,0.28,57.4,6,83
Haringey,23,4.7,71.4,142,556570,90.6,63.78,0.45,0.25,11.14,0.56,0.31,50.5,9,104
Harrow,16,4.4,69.4,78,521416,80.8,62.85,0.5,0.25,10.54,0.53,0.36,54.2,8,75
Havering,22,7,70.1,100,420055,81.2,64.22,0.49,0.25,11.5,0.5,0.35,50.3,5,91
Hillingdon,28,4.4,72,91,449725,88.3,64.2,0.43,0.25,10.57,0.56,0.37,51.8,2,111
Hounslow,25,5,65.6,104,445246,86.3,62.33,0.4,0.25,10.5,0.61,0.35,52.6,7,92
Islington,29,5.9,75.4,114,645134,82.1,63.36,0.4,0.25,11.57,0.66,0.31,49.9,8,78
Kensington and Chelsea,22,4.6,81,119,1154639,90.9,68.72,0.35,0.24,13.13,0.55,0.24,53.6,7,78
Kingston upon Thames,28,4.4,62.9,80,547883,,69.52,0.44,0.25,11.33,0.52,0.48,60.2,8,64
Lambeth,32,4.9,61,132,501094,83.1,60.2,0.36,0.25,11.52,0.6,0.36,46.3,5,99
Lewisham,14,5.3,73.9,136,418927,88.4,63.91,0.4,0.25,11.71,0.57,0.28,47.8,9,95
Merton,35,5,71.8,83,538411,85.8,66.85,0.45,0.25,11.26,0.54,0.41,53.6,4,73
Newham,27,5.5,78.3,137,396662,81.1,62.04,0.35,0.25,9.16,0.72,0.21,53.8,7,109
Redbridge,11,4.5,80,104,455499,77.9,62.26,0.45,0.25,10.28,0.49,0.25,56.5,5,95
Richmond upon Thames,25,3.9,73.1,75,736499,80.8,69.55,0.5,0.25,11.99,0.47,0.4,58,8,82
Southwark,22,4.7,82.5,116,495431,90.7,62.69,0.38,0.25,10.78,0.66,0.33,53.6,9,120
Sutton,39,6.3,69.3,80,424968,86.5,67.39,0.42,0.25,11.63,0.52,0.46,61,8,71
Tower Hamlets,23,5.3,64.8,99,453598,83.5,61.55,0.3,0.25,9.79,0.8,0.19,49.8,9,119
Waltham Forest,34,4,71.1,107,491034,87.3,65.59,0.46,0.25,10.5,0.58,0.32,48.2,5,85
Wandsworth,43,5,76,110,602690,84.5,65.77,0.38,0.25,11.69,0.62,0.24,54,8,116
Westminster,,,,134,927909,91.4,65.77,0.32,0.24,11.97,0.69,0.24,57.3,9,93
